,pop,r0,cv,rxe,rxi,wxe,wxi,xe_sec,xi_sec
0,IT2,2.0,0.7,8776.0,939.0,0.3122,1.1678,soma,soma
1,IT3,2.0,0.7,9575.0,1560.0,0.3115,1.1608,soma,soma
2,ITP4,2.0,0.7,8385.0,1620.0,0.3126,1.185,soma,soma
3,ITS4,2.0,0.7,8400.0,1611.0,0.3126,1.1856,soma,soma
4,IT5A,5.0,0.6,8705.0,2081.0,0.2959,1.1226,soma,soma
5,IT5B,5.0,0.6,8763.0,2052.0,0.2951,1.145,soma,soma
6,IT6,3.0,0.7,7981.0,2006.0,0.2914,1.0853,soma,soma
7,CT5A,2.0,0.7,8287.0,1627.0,0.3091,1.24,soma,soma
8,CT5B,2.0,0.7,8241.0,1636.0,0.3091,1.2397,soma,soma
9,CT6,2.0,0.7,7801.0,1632.0,0.3091,1.2402,soma,soma
10,PT5B,5.0,0.8,8553.0,1486.0,0.3159,1.0967,soma,soma
11,PV2,12.0,2.1,5411.0,1578.0,0.254,1.9862,soma,soma
12,PV3,12.0,2.0,5405.0,1582.0,0.254,1.9862,soma,soma
13,PV4,10.0,1.8,5492.0,653.0,0.254,1.9862,soma,soma
14,PV5A,8.0,1.7,5595.0,341.0,0.254,1.9862,soma,soma
15,PV5B,8.0,1.7,5685.0,344.0,0.254,1.9862,soma,soma
16,PV6,15.0,2.0,5561.0,781.0,0.254,1.9862,soma,soma
17,SOM2,6.0,1.1,3066.0,3050.0,0.2635,0.5378,soma,soma
18,SOM3,6.0,1.1,3209.0,3091.0,0.2635,0.5378,soma,soma
19,SOM4,5.0,1.0,3381.0,2583.0,0.2635,0.5378,soma,soma
20,SOM5A,4.0,1.0,3268.0,1928.0,0.2635,0.5378,soma,soma
21,SOM5B,4.0,1.0,3256.0,1955.0,0.2635,0.5378,soma,soma
22,SOM6,7.0,0.9,3419.0,1335.0,0.2635,0.5378,soma,soma
23,VIP2,7.0,1.0,2802.0,1024.0,0.3062,1.026,soma,soma
24,VIP3,7.0,1.0,2930.0,1054.0,0.3062,1.026,soma,soma
25,VIP4,0.2,0.8,1775.0,1599.0,0.3062,1.026,soma,soma
26,VIP5A,0.2,0.8,1625.0,622.0,0.3062,1.026,soma,soma
27,VIP5B,0.2,,2117.0,672.0,0.3062,1.026,soma,soma
28,VIP6,0.2,,753.0,3407.0,0.3062,1.026,soma,soma
29,NGF1,3.0,0.7,6629.0,408.0,0.3302,0.6428,soma,soma
30,NGF2,1.0,0.7,3451.0,708.0,0.3302,0.6428,soma,soma
31,NGF3,1.0,0.7,3790.0,765.0,0.3302,0.6428,soma,soma
32,NGF4,0.1,,2732.0,1090.0,0.3302,0.6428,soma,soma
33,NGF5A,0.5,0.7,3725.0,568.0,0.3302,0.6428,soma,soma
34,NGF5B,0.5,0.6,3649.0,532.0,0.3302,0.6428,soma,soma
35,NGF6,0.5,0.6,3211.0,718.0,0.3302,0.6428,soma,soma
