,pop,r0,cv,rxe,rxi,wxe,wxi,xe_sec,xi_sec
0,IT2,2.0,0.7,3706.0,0.0,0.3122,1.1678,soma,soma
1,PV2,12.0,2.0,0.0,1319.0,0.254,1.9862,soma,soma
2,PV3,12.0,1.9,152.0,1319.0,0.254,1.9862,soma,soma
3,PV4,10.0,1.8,10609.0,985.0,0.254,1.9862,soma,soma
4,PV5A,8.0,1.6,11528.0,730.0,0.254,1.9862,soma,soma
5,PV5B,8.0,1.6,11382.0,720.0,0.254,1.9862,soma,soma
6,PV6,15.0,1.9,673.0,506.0,0.254,1.9862,soma,soma
7,SOM2,6.0,1.0,1755.0,2703.0,0.2635,0.5378,soma,soma
8,SOM3,6.0,1.0,6549.0,4180.0,0.2635,0.5378,soma,soma
9,SOM4,5.0,1.0,6576.0,3650.0,0.2635,0.5378,soma,soma
10,SOM5A,4.0,0.9,6531.0,3055.0,0.2635,0.5378,soma,soma
11,SOM5B,4.0,0.9,3973.0,2271.0,0.2635,0.5378,soma,soma
12,SOM6,7.0,1.0,7126.0,2580.0,0.2635,0.5378,soma,soma
13,VIP2,7.0,1.0,3352.0,1191.0,0.3062,1.026,soma,soma
14,VIP3,7.0,0.9,5319.0,1520.0,0.3062,1.026,soma,soma
15,VIP4,0.2,,1456.0,1720.0,0.3062,1.026,soma,soma
16,VIP5A,0.2,,1451.0,766.0,0.3062,1.026,soma,soma
17,VIP5B,0.2,0.8,3098.0,985.0,0.3062,1.026,soma,soma
18,VIP6,0.2,,21.0,3535.0,0.3062,1.026,soma,soma
19,NGF1,3.0,0.7,9037.0,820.0,0.3302,0.6428,soma,soma
20,NGF2,1.0,0.7,6308.0,1283.0,0.3302,0.6428,soma,soma
21,NGF3,1.0,0.7,3656.0,813.0,0.3302,0.6428,soma,soma
22,NGF4,0.1,,2470.0,1293.0,0.3302,0.6428,soma,soma
23,NGF5A,0.5,0.7,4648.0,863.0,0.3302,0.6428,soma,soma
24,NGF5B,0.5,0.7,4491.0,817.0,0.3302,0.6428,soma,soma
25,NGF6,0.5,0.7,3906.0,983.0,0.3302,0.6428,soma,soma
