,pop,r0,cv,rxe,rxi,wxe,wxi,xe_sec,xi_sec
0,IT2,2.0,0.7,8764.0,960.0,0.3122,1.1678,soma,soma
1,ITP4,2.0,0.7,8566.0,1661.0,0.3126,1.185,soma,soma
2,ITS4,2.0,0.7,8690.0,1673.0,0.3126,1.1856,soma,soma
3,IT6,3.0,0.6,8381.0,2106.0,0.2914,1.0853,soma,soma
4,PV2,12.0,2.0,5825.0,1605.0,0.254,1.9862,soma,soma
5,PV3,12.0,2.0,5692.0,1605.0,0.254,1.9862,soma,soma
6,PV4,10.0,1.8,5476.0,657.0,0.254,1.9862,soma,soma
7,PV5A,8.0,1.6,5617.0,348.0,0.254,1.9862,soma,soma
8,PV5B,8.0,1.6,5705.0,351.0,0.254,1.9862,soma,soma
9,PV6,15.0,1.9,5668.0,791.0,0.254,1.9862,soma,soma
10,SOM2,6.0,1.1,3169.0,3097.0,0.2635,0.5378,soma,soma
11,SOM3,6.0,1.0,3210.0,3107.0,0.2635,0.5378,soma,soma
12,SOM4,5.0,1.0,3319.0,2583.0,0.2635,0.5378,soma,soma
13,SOM5A,4.0,0.9,3249.0,1944.0,0.2635,0.5378,soma,soma
14,SOM5B,4.0,0.9,3176.0,1947.0,0.2635,0.5378,soma,soma
15,SOM6,7.0,0.9,3414.0,1348.0,0.2635,0.5378,soma,soma
16,VIP2,7.0,1.0,2912.0,1062.0,0.3062,1.026,soma,soma
17,VIP3,7.0,1.0,2889.0,1062.0,0.3062,1.026,soma,soma
18,VIP4,0.2,,1740.0,1655.0,0.3062,1.026,soma,soma
19,VIP5A,0.2,,1824.0,716.0,0.3062,1.026,soma,soma
20,VIP5B,0.2,,1933.0,696.0,0.3062,1.026,soma,soma
21,VIP6,0.2,,591.0,3466.0,0.3062,1.026,soma,soma
22,NGF1,3.0,0.7,6614.0,406.0,0.3302,0.6428,soma,soma
23,NGF2,1.0,0.7,3614.0,755.0,0.3302,0.6428,soma,soma
24,NGF3,1.0,0.7,3656.0,759.0,0.3302,0.6428,soma,soma
25,NGF4,0.1,,2555.0,1137.0,0.3302,0.6428,soma,soma
26,NGF5A,0.5,0.7,3468.0,551.0,0.3302,0.6428,soma,soma
27,NGF5B,0.5,0.6,3467.0,532.0,0.3302,0.6428,soma,soma
28,NGF6,0.5,0.6,3430.0,800.0,0.3302,0.6428,soma,soma
